epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8208,1.76157,4.52813,1.88803,0.0882,0.33333,0.15483,0.11435,1.00705,2.92094,1.58289,0,0,0
2,23.688,2.23935,4.85903,2.17048,0.13946,0.66667,0.20199,0.1558,1.01581,3.01388,1.55897,1.9604e-05,1.9604e-05,1.9604e-05
3,30.0737,2.12242,4.17382,2.11098,0.41033,0.66667,0.54233,0.43521,0.91897,2.80538,1.38922,3.8416e-05,3.8416e-05,3.8416e-05
4,36.7813,1.67061,2.98252,1.66449,0.659,0.66667,0.60833,0.47587,0.79903,3.39156,1.20907,5.6436e-05,5.6436e-05,5.6436e-05
5,44.4838,1.06603,2.23308,1.34015,0.42714,1,0.597,0.4776,0.63238,4.28256,1.10429,7.3664e-05,7.3664e-05,7.3664e-05
6,51.9411,0.89716,1.90885,1.2065,0.71237,1,0.83,0.56559,0.72947,6.00389,1.12896,9.01e-05,9.01e-05,9.01e-05
7,59.1855,0.70253,1.69053,1.10137,0.69669,1,0.9125,0.63107,0.91385,5.68547,1.16165,0.000105744,0.000105744,0.000105744
8,66.3855,0.74354,1.67383,1.17295,0.63343,1,0.83,0.63104,0.92969,3.75331,1.14378,0.000120596,0.000120596,0.000120596
9,74.2564,0.54367,1.41747,1.04303,0.49023,1,0.72,0.576,0.86374,3.37097,1.09286,0.000134656,0.000134656,0.000134656
10,81.6134,0.47792,1.50321,0.92203,0.57266,1,0.863,0.75694,0.7569,3.55031,1.05182,0.000147924,0.000147924,0.000147924
11,88.9364,0.37869,1.03308,0.89297,0.59864,1,0.9125,0.79654,0.6236,3.78538,1.01203,0.0001604,0.0001604,0.0001604
12,96.5553,0.49214,1.07933,1.0254,0.49552,1,0.9125,0.82125,0.50004,5.81716,0.97712,0.000172084,0.000172084,0.000172084
13,103.633,0.40856,1.16357,1.01515,0.69495,1,0.74625,0.67163,0.47889,3.51687,0.95391,0.000182976,0.000182976,0.000182976
14,110.711,0.46913,1.01184,0.92131,0.71745,1,0.74625,0.67163,0.48712,2.59986,0.9491,0.000193076,0.000193076,0.000193076
15,117.957,0.40307,1.09736,0.96667,0.66613,1,0.83,0.73074,0.54318,2.64079,0.95369,0.000202384,0.000202384,0.000202384
16,124.951,0.45085,1.18498,0.96438,0.5781,1,0.83,0.75541,0.4868,3.30912,0.94678,0.0002109,0.0002109,0.0002109
17,131.815,0.35181,1.0029,0.96627,0.48337,1,0.9125,0.9125,0.34383,5.3666,0.92117,0.000218624,0.000218624,0.000218624
18,138.599,0.42043,0.9026,0.911,0.48337,1,0.9125,0.9125,0.34383,5.3666,0.92117,0.000225556,0.000225556,0.000225556
19,145.794,0.4463,0.89085,0.94203,0.49426,1,0.83,0.75541,0.49864,6.97272,0.99048,0.000231696,0.000231696,0.000231696
20,152.565,0.4186,0.62352,0.97205,0.49426,1,0.83,0.75541,0.49864,6.97272,0.99048,0.000237044,0.000237044,0.000237044
